"score","id","category","primary_query","secondary_queries","url","stock","price"
"108","190","Fren Diski","Fren Diski SAF Holland OEM 4079001300 ESD 070 15","SAF dorse dingili Fren Diski | SAF dorse dingili 4079001300 | 4079001300 Fren Diski | ESD 070 15 Fren Diski | Fren Diski SAF Holland","https://www.frenciniz.com/urun/190/fren-diski-saf-holland-oem-4079001300-esd-070-15-ekersan","271","3509.54"
"108","201","Fren Diski","Fren Diski BPW ECOPlus OEM 308834020 ESD 070 02","BPW dorse dingili Fren Diski | BPW dorse dingili 308834020 | 308834020 Fren Diski | ESD 070 02 Fren Diski | Fren Diski BPW ECOPlus","https://www.frenciniz.com/urun/201/fren-diski-bpw-ecoplus-oem-308834020-esd-070-02-ekersan","241","4636.84"
"108","220","Fren Diski","Fren Diski Iveco Eurocargo Stralis OEM 1906461 ESD 030 02","Iveco Eurocargo Fren Diski | Iveco Eurocargo 1906461 | 1906461 Fren Diski | ESD 030 02 Fren Diski | Fren Diski Iveco Eurocargo Stralis","https://www.frenciniz.com/urun/220/fren-diski-iveco-eurocargo-stralis-oem-1906461-esd-030-02-ekersan","241","4604.94"
"108","74","Fren Diski","Fren Diski Ford Cargo WABCO ABS EBS Ön Arka 1846 OEM DC462A315AA ESD 120 03-1","Ford Cargo Fren Diski | Ford Cargo DC462A315AA | DC462A315AA Fren Diski | ESD 120 03-1 Fren Diski | Fren Diski Ford Cargo WABCO ABS EBS Ön Arka 1846","https://www.frenciniz.com/urun/74/fren-diski-ford-cargo-wabco-abs-ebs-on-arka-1846-oem-dc462a315aa-esd-120-03-1-ekersan","223","4700.65"
"108","800","Fren Pabucu","Fren Pabucu BPW ECOPlus 18 cm OEM (A) F4 EYD 80 04","BPW dorse dingili Fren Pabucu | BPW dorse dingili (A) F4 | (A) F4 Fren Pabucu | EYD 80 04 Fren Pabucu | Fren Pabucu BPW ECOPlus 18 cm","https://www.frenciniz.com/urun/800/fren-pabucu-bpw-ecoplus-18-cm-oem-a-f4-eyd-80-04-ekersan","213","1141.8"
"108","226","Fren Diski","Fren Diski MAN L2000 M2000 OEM 81508030026 ESD 020 04","MAN L2000 Fren Diski | MAN L2000 81508030026 | 81508030026 Fren Diski | ESD 020 04 Fren Diski | Fren Diski MAN L2000 M2000","https://www.frenciniz.com/urun/226/fren-diski-man-l2000-m2000-oem-81508030026-esd-020-04-ekersan","207","2680.01"
"108","215","Fren Diski","Fren Diski Iveco Eurocargo Stralis Trakker 6 cm 14 Delik Ön 220 OEM 7187541 ESD 030 10","Iveco Eurocargo Fren Diski | Iveco Eurocargo 7187541 | 7187541 Fren Diski | ESD 030 10 Fren Diski | Fren Diski Iveco Eurocargo Stralis Trakker 6 cm 14 Delik Ön 220","https://www.frenciniz.com/urun/215/fren-diski-iveco-eurocargo-stralis-trakker-6-cm-14-delik-on-220-oem-7187541-esd-030-10-ekersan","206","3924.3"
"108","225","Fren Diski","Fren Diski MAN L2000 M2000 OEM 81508030024 ESD 020 05","MAN L2000 Fren Diski | MAN L2000 81508030024 | 81508030024 Fren Diski | ESD 020 05 Fren Diski | Fren Diski MAN L2000 M2000","https://www.frenciniz.com/urun/225/fren-diski-man-l2000-m2000-oem-81508030024-esd-020-05-ekersan","196","2807.63"
"108","200","Fren Diski","Fren Diski SAF Holland OEM 4079000410 ESD 070 03","SAF dorse dingili Fren Diski | SAF dorse dingili 4079000410 | 4079000410 Fren Diski | ESD 070 03 Fren Diski | Fren Diski SAF Holland","https://www.frenciniz.com/urun/200/fren-diski-saf-holland-oem-4079000410-esd-070-03-ekersan","170","4168.9"
"108","72","Fren Diski","Fren Diski MAN L2000 TGL TGM OEM 81508030042 ESD 020 12","MAN TGM Fren Diski | MAN TGM 81508030042 | 81508030042 Fren Diski | ESD 020 12 Fren Diski | Fren Diski MAN L2000 TGL TGM","https://www.frenciniz.com/urun/72/fren-diski-man-l2000-tgl-tgm-oem-81508030042-esd-020-12-ekersan","167","2903.34"
