id,name,sku,oem,category,new_image,source_product_id,source_name,source_sku,source_oem,source_image,match_score
487,Süspansiyon Körüğü Ford Cargo,425832.CP,,suspansiyon-korugu,/img/frenciniz-generated/487_frenciniz.webp,533,Süspansiyon Körüğü Ford Cargo,421889.S,9C465580BAS,/img/533_78c9945b8d_320.webp,36
488,Porya 200 mm,ESP.30.04,,porya,/img/frenciniz-generated/488_frenciniz.webp,493,Porya Scania P G R,ESP.04.05,"1391617, 1388906, 1818003, 2019853, 2120485",/img/493_fd3c792a7e_320.webp,64
489,Porya ESP 30 03,ESP.30.03,,porya,/img/frenciniz-generated/489_frenciniz.webp,759,Porya Scania P G R,ESP.03.11,"1800283, 2290542",/img/759_f0c86b2a62_320.webp,64
491,Bijon EYD 92 07,EYD 92 07,,bijon,/img/frenciniz-generated/491_frenciniz.webp,239,Bijon Mercedes Actros Axor 92 mm Arka,ESB 187 10,4014171,/img/239_82ee746733_320.webp,24
492,Bijon EYD 92 06,EYD 92 06,,bijon,/img/frenciniz-generated/492_frenciniz.webp,239,Bijon Mercedes Actros Axor 92 mm Arka,ESB 187 10,4014171,/img/239_82ee746733_320.webp,24
534,Süspansiyon Körüğü Ford Cargo,421889.C,"9C465580BAN , t179769",suspansiyon-korugu,/img/frenciniz-generated/534_frenciniz.webp,533,Süspansiyon Körüğü Ford Cargo,421889.S,9C465580BAS,/img/533_78c9945b8d_320.webp,88
538,24V ELEKTRİK KABLOSU (DİŞİ),EYD 80 33,,elektrik-kablosu,/img/frenciniz-generated/538_frenciniz.webp,537,24V 15'Lİ EBS KABLOSU,EYD 80 34,,/img/537_be73e8ac92_320.webp,94
539,24V ELEKTRİK KABLOSU (ERKEK),EYD 80 32,,elektrik-kablosu,/img/frenciniz-generated/539_frenciniz.webp,537,24V 15'Lİ EBS KABLOSU,EYD 80 34,,/img/537_be73e8ac92_320.webp,94
549,Süspansiyon Körüğü 424159 CP,424159.CP,"UJA0894001 , MLF7035",suspansiyon-korugu,/img/frenciniz-generated/549_frenciniz.webp,617,Süspansiyon Körüğü Fruehauf SMB,424159.S,MLF7015,/img/617_5cb2790303_320.webp,52
550,Ebs Dorse Kontrol Ventili Tamir Takimi,303.08.0001.02,,ebs-modulator,/img/frenciniz-generated/550_frenciniz.webp,574,EBS PARK BUTONU REKORLU 9710029120,303.16.0006,,/img/574_8fcdc1e330_320.webp,64
558,Fren Körüğü BPW ECOPlus,EYD 100 71-1,,fren-korugu,/img/frenciniz-generated/558_frenciniz.webp,623,Fren Körüğü EYD 100 67,EYD 100 67,,/img/623_038bd9fd08_320.webp,110
