"rank","score","priority","id","sku","name","category","group","part","price","stock","oem","compat","image","demand_group","demand_rank","url"
"14","43","sales-priority-1","182","ESD 080 01","1386686 Scania P G R Fren Diski ESD 080 01","Fren Diski","disk","fren diski","3817.95","301","1386686, 1402272, 1852817, K000510, K000810","Scania 4 serisi | Scania P/G/R serisi | Scania P serisi | Scania G420 | Scania G440","yes","1386686-scania-pgr-fren-diski","8","https://www.frenciniz.com/urun/182/1386686-scania-p-g-r-fren-diski-esd-080-01-ekersan"
"15","41","sales-priority-1","87","ESD 080 02","1386686 Scania P G R Fren Diski ESD 080 02","Fren Diski","disk","fren diski","4732.56","12","1386686, 1402272, 1852817, K000510, K000810","Scania P/G/R serisi | Scania 4 serisi | Scania P serisi | Scania G420 | Scania G440","yes","1386686-scania-pgr-fren-diski","8","https://www.frenciniz.com/urun/87/1386686-scania-p-g-r-fren-diski-esd-080-02-ekersan"
"16","42","sales-priority-1","672","42314/2-300","29244 Mercedes Axor Actros Arka Disk Fren Balatasi 42314/2-300","Fren Balatası","balata","fren balatasi","1874.40","82","29244","Mercedes-Benz Actros/Axor | Renault Trucks Premium/Magnum | Volvo FH/FM | Actros 1840 | Actros 1841","yes","29244-mercedes-axor-actros-arka-fren-balatasi","9","https://www.frenciniz.com/urun/672/29244-mercedes-axor-actros-arka-disk-fren-balatasi-42314-2-300-ekersan"
"17","42","sales-priority-1","734","PWR-5006","29244 Mercedes Axor Actros Arka Disk Fren Balatasi PWR-5006","Fren Balatası","balata","fren balatasi","2367.42","25","29244","Mercedes-Benz Axor | Mercedes-Benz Actros/Axor | Renault Trucks Premium/Magnum | Volvo FH/FM | Actros 1840","yes","29244-mercedes-axor-actros-arka-fren-balatasi","9","https://www.frenciniz.com/urun/734/29244-mercedes-axor-actros-arka-disk-fren-balatasi-pwr-5006-ekersan"
"18","34","sales-priority-1","587","KIZAK 10504","29244 Mercedes Axor Actros Arka Disk Fren Balatasi KIZAK 10504","Kızak","kaliper-urunleri","fren balatasi","3960.00","22","0004231006 , K052379K50","Mercedes-Benz Axor | Mercedes-Benz Actros/Axor | Renault Trucks Premium/Magnum | Volvo FH/FM | Actros 1840","yes","29244-mercedes-axor-actros-arka-fren-balatasi","9","https://www.frenciniz.com/urun/587/29244-mercedes-axor-actros-arka-disk-fren-balatasi-kizak-10504-ekersan"
"19","43","sales-priority-1","641","42322/1-300","29195 SAF Dorse Disk Fren Balatasi 42322/1-300","Fren Balatası","balata","fren balatasi","2059.20","204","29175 - 29195","Knorr / WABCO / Meritor kaliper uygulamaları | Kamyon / tır / otobüs | ROR dorse | Meritor/ROR | Gigant aks","yes","29195-saf-dorse-fren-balatasi","10","https://www.frenciniz.com/urun/641/29195-saf-dorse-disk-fren-balatasi-42322-1-300-ekersan"
"20","42","sales-priority-1","722","PWR-5018","29195 SAF Dorse Disk Fren Balatasi PWR-5018","Fren Balatası","balata","fren balatasi","2293.90","61","29195","SAF dorse dingili | SAF Holland treyler | Knorr / WABCO / Meritor kaliper uygulamaları | Kamyon / tır / otobüs | SAF Holland","yes","29195-saf-dorse-fren-balatasi","10","https://www.frenciniz.com/urun/722/29195-saf-dorse-disk-fren-balatasi-pwr-5018-ekersan"
"21","43","sales-priority-1","556","42230/1-290","29171 BPW Kogel Dorse Disk Fren Balatasi 42230/1-290","Fren Balatası","balata","fren balatasi","2006.40","113","29158 - 29171","Knorr / WABCO / Meritor kaliper uygulamaları | Kamyon / tır / otobüs | ROR dorse | Meritor/ROR | Gigant aks","yes","29171-bpw-kogel-dorse-fren-balatasi","11","https://www.frenciniz.com/urun/556/29171-bpw-kogel-dorse-disk-fren-balatasi-42230-1-290-ekersan"
"22","42","sales-priority-1","737","PWR-5002","29171 BPW Kogel Dorse Disk Fren Balatasi PWR-5002","Fren Balatası","balata","fren balatasi","2264.59","44","29171","BPW dorse dingili | BPW ECOPlus dingil | BPW treyler | ROR dorse dingili | Meritor/ROR treyler","yes","29171-bpw-kogel-dorse-fren-balatasi","11","https://www.frenciniz.com/urun/737/29171-bpw-kogel-dorse-disk-fren-balatasi-pwr-5002-ekersan"
"23","33","sales-priority-1","589","KIZAK 10510","29171 BPW Kogel Dorse Disk Fren Balatasi KIZAK 10510","Kızak","kaliper-urunleri","fren balatasi","3960.00","4","K015308","SAF dorse dingili | SAF Holland treyler | Dorse / treyler | Knorr-Bremse SB/SN/SK kaliper sistemi | Scania 4/P/G/R serisi","yes","29171-bpw-kogel-dorse-fren-balatasi","11","https://www.frenciniz.com/urun/589/29171-bpw-kogel-dorse-disk-fren-balatasi-kizak-10510-ekersan"
