"rank","score","priority","id","sku","name","category","group","part","price","stock","oem","compat","image","demand_group","demand_rank","url"
"54","28","sales-priority-1","133","ESK 040 12","9C46-1125-AB Ford Cargo Fren Kampanası ESK 040 12","Fren Kampanası","kampana","fren kampanasi","6678.75","1180","9C46-1125-AB","Ford Cargo | Ford Cargo 1846 | Ford Cargo 3230 | Ford Cargo 3238 | Ford Cargo 3542","yes","","","https://www.frenciniz.com/urun/133/9c46-1125-ab-ford-cargo-fren-kampanasi-esk-040-12-ekersan"
"55","28","sales-priority-1","151","ESK 020 05","81501100232 MAN Ford Cargo Krone Dorse Kögel Dorse Fren Kampanası ESK 020 05","Fren Kampanası","kampana","fren kampanasi","5360.02","1087","81501100232","Kamyon | Tır / çekici | Otobüs | Dorse | Krone dorse","yes","","","https://www.frenciniz.com/urun/151/81501100232-man-ford-cargo-krone-dorse-kogel-dorse-fren-kampanasi-esk-020-05-ekersan"
"56","28","sales-priority-1","152","ESK 020 03","81501100144 MAN Ford Cargo Krone Dorse Kögel Dorse Fren Kampanası ESK 020 03","Fren Kampanası","kampana","fren kampanasi","5508.91","837","81501100144","Kamyon | Tır / çekici | Otobüs | Dorse | Krone dorse","yes","","","https://www.frenciniz.com/urun/152/81501100144-man-ford-cargo-krone-dorse-kogel-dorse-fren-kampanasi-esk-020-03-ekersan"
"57","28","sales-priority-1","91","ESK 160 87","Ford Cargo Krone Dorse Kögel Dorse Fren Kampanası ESK 160 87","Fren Kampanası","kampana","fren kampanasi","5346.48","381","Fren Kampanası","Dorse / treyler | Yerel dorse dingil grubu | Krone dorse | Kögel dorse | Schmitz Cargobull","yes","","","https://www.frenciniz.com/urun/91/ford-cargo-krone-dorse-kogel-dorse-fren-kampanasi-esk-160-87-ekersan"
"58","28","sales-priority-1","135","ESK 040 09","7C46 1125 AA Ford Cargo Fren Kampanası Ön Arka","Fren Kampanası","kampana","fren kampanasi","5370.65","363","7C46 1125 AA","Ford Cargo | Ford Cargo 1846 | Ford Cargo 3230 | Ford Cargo 3238 | Ford Cargo 3542","yes","","","https://www.frenciniz.com/urun/135/7c46-1125-aa-ford-cargo-fren-kampanasi-on-arka-ekersan"
"59","28","sales-priority-1","153","ESK 010 41","6584210001 Mercedes Axor Actros Fren Kampanası ESK 010 41","Fren Kampanası","kampana","fren kampanasi","5827.96","299","6584210001","Mercedes-Benz Actros | Mercedes-Benz Axor | Actros 1840 | Actros 1841 | Actros 1844","yes","","","https://www.frenciniz.com/urun/153/6584210001-mercedes-axor-actros-fren-kampanasi-esk-010-41-ekersan"
"60","28","sales-priority-1","271","ESK 070 12","478 Ford Cargo Krone Dorse Kögel Dorse Fren Kampanası ESK 070 12","Fren Kampanası","kampana","fren kampanasi","3278.88","269","478","Kamyon | Tır / çekici | Otobüs | Dorse | Krone dorse","yes","","","https://www.frenciniz.com/urun/271/478-ford-cargo-krone-dorse-kogel-dorse-fren-kampanasi-esk-070-12-ekersan"
"61","28","sales-priority-1","95","ESK 160 53","2812 Ford Cargo Krone Dorse Kögel Dorse Fren Kampanası E.M.","Fren Kampanası","kampana","fren kampanasi","6168.27","254","2812","Dorse / treyler | Yerel dorse dingil grubu | Krone dorse | Kögel dorse | Schmitz Cargobull","yes","","","https://www.frenciniz.com/urun/95/2812-ford-cargo-krone-dorse-kogel-dorse-fren-kampanasi-e-m-ekersan"
"62","28","sales-priority-1","73","ESK 090 15","360571 Ford Cargo Krone Dorse Kögel Dorse Fren Kampanası ESK 090 15","Fren Kampanası","kampana","fren kampanasi","6763.83","231","360571 , 2378715 , 1414153","Kamyon | Tır / çekici | Otobüs | Dorse | Krone dorse","yes","","","https://www.frenciniz.com/urun/73/360571-ford-cargo-krone-dorse-kogel-dorse-fren-kampanasi-esk-090-15-ekersan"
"63","28","sales-priority-1","114","ESK 090 02","360573-1414435 Ford Cargo Krone Dorse Kögel Dorse Fren Kampanası ESK 090 02","Fren Kampanası","kampana","fren kampanasi","9060.98","228","360573-1414435","Kamyon | Tır / çekici | Otobüs | Dorse | Krone dorse","yes","","","https://www.frenciniz.com/urun/114/360573-1414435-ford-cargo-krone-dorse-kogel-dorse-fren-kampanasi-esk-090-02-ekersan"
"64","28","sales-priority-1","272","ESK 070 11","477 Ford Cargo Krone Dorse Kögel Dorse Fren Kampanası ESK 070 11","Fren Kampanası","kampana","fren kampanasi","2736.08","213","477","Kamyon | Tır / çekici | Otobüs | Dorse | Krone dorse","yes","","","https://www.frenciniz.com/urun/272/477-ford-cargo-krone-dorse-kogel-dorse-fren-kampanasi-esk-070-11-ekersan"
"65","28","sales-priority-1","38","ESK 140 04","189923 Ford Cargo Krone Dorse Kögel Dorse Fren Kampanası ESK 140 04","Fren Kampanası","kampana","fren kampanasi","6147.00","204","189923","Kamyon | Tır / çekici | Otobüs | Dorse | Krone dorse","yes","","","https://www.frenciniz.com/urun/38/189923-ford-cargo-krone-dorse-kogel-dorse-fren-kampanasi-esk-140-04-ekersan"
"66","28","sales-priority-1","111","ESK 110 23","1075310 Ford Cargo Krone Dorse Kögel Dorse Fren Kampanası ESK 110 23","Fren Kampanası","kampana","fren kampanasi","7954.95","201","1075310","Kamyon | Tır / çekici | Otobüs | Dorse | Krone dorse","yes","","","https://www.frenciniz.com/urun/111/1075310-ford-cargo-krone-dorse-kogel-dorse-fren-kampanasi-esk-110-23-ekersan"
"67","29","sales-priority-1","481","PWR-K004","19488 Mercedes Axor Actros MAN TGA TGS TGX TGM Fren Balatası 22 Lik","Fren Balatası","balata","fren balatasi","1295.71","228","19488","Mercedes-Benz Actros | Mercedes-Benz Axor | Actros 1840 | Actros 1841 | Actros 1844","yes","","","https://www.frenciniz.com/urun/481/19488-mercedes-axor-actros-man-tga-tgs-tgx-tgm-fren-balatasi-22-lik-ekersan"
"68","25","sales-priority-1","56","ESB 180 20","9424010271-4012371 Mercedes Axor Actros Bijon DPS ESB 180 20","Bijon","bijon-grup","bijon","183.64","8489","9424010271-4012371","Mercedes-Benz Actros | Mercedes-Benz Axor | Actros 1840 | Actros 1841 | Actros 1844","yes","","","https://www.frenciniz.com/urun/56/9424010271-4012371-mercedes-axor-actros-bijon-dps-esb-180-20-ekersan"
"69","25","sales-priority-1","373","ESB 1813 10","1303111810 Ford Cargo Bijon 73 mm","Bijon","bijon-grup","bijon","199.31","7553","1303111810 - 13031117410","Iveco Eurocargo | Iveco Stralis | Iveco Trakker | SAF dorse dingili | SAF Holland treyler","yes","","","https://www.frenciniz.com/urun/373/1303111810-ford-cargo-bijon-73-mm-ekersan"
"70","25","sales-priority-1","242","ESB 182 10","3814010771-3464010071 Mercedes Axor Actros Bijon ESB 182 10","Bijon","bijon-grup","bijon","186.39","6916","3814010771-3464010071","Mercedes-Benz Actros | Mercedes-Benz Axor | Actros 1840 | Actros 1841 | Actros 1844","yes","","","https://www.frenciniz.com/urun/242/3814010771-3464010071-mercedes-axor-actros-bijon-esb-182-10-ekersan"
"71","25","sales-priority-1","377","ESB 1722 10","329633110 Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Bijon DPS ESB 1722 10","Bijon","bijon-grup","bijon","199.31","6593","329633110","BPW dorse dingili | BPW treyler | BPW ECOPlus | BPW 9 ton | BPW 12 ton","yes","","","https://www.frenciniz.com/urun/377/329633110-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-bijon-dps-esb-1722-10-ekersan"
"72","25","sales-priority-1","384","ESB 1426 10","20515519-7420515519 Volvo FH12 FM FL Scania P G R Bijon DPS ESB 1426 10","Bijon","bijon-grup","bijon","210.30","6086","20515519-7420515519","Scania P/G/R serisi | Volvo FH/FM | Scania P serisi | Scania G420 | Scania G440","yes","","","https://www.frenciniz.com/urun/384/20515519-7420515519-volvo-fh12-fm-fl-scania-p-g-r-bijon-dps-esb-1426-10-ekersan"
"73","25","sales-priority-1","327","ESB 4000 14","9429900004-9429902804 Mercedes Axor Actros Disk Bijonu","Disk Bijonu/Civatası","bijon-grup","fren diski","73.46","5692","9429900004-9429902804","Mercedes-Benz Actros | Mercedes-Benz Axor | Actros 1840 | Actros 1841 | Actros 1844","yes","","","https://www.frenciniz.com/urun/327/9429900004-9429902804-mercedes-axor-actros-disk-bijonu-ekersan"
"74","25","sales-priority-1","58","ESB 180 10","9424010371-4014171 Mercedes Axor Actros Bijon DPS ESB 180 10","Bijon","bijon-grup","bijon","183.64","5284","9424010371-4014171","Mercedes-Benz Actros | Mercedes-Benz Axor | Actros 1840 | Actros 1841 | Actros 1844","yes","","","https://www.frenciniz.com/urun/58/9424010371-4014171-mercedes-axor-actros-bijon-dps-esb-180-10-ekersan"
"75","25","sales-priority-1","329","ESB 4000 10","4343291410 Mercedes Axor Ford Cargo SAF Dorse Disk Bijonu","Disk Bijonu/Civatası","bijon-grup","fren diski","73.46","5200","4343291410 - SFAX0050","Mercedes-Benz Axor | SAF dorse dingili | SAF Holland treyler | Axor 1840 | Axor 1843","yes","","","https://www.frenciniz.com/urun/329/4343291410-mercedes-axor-ford-cargo-saf-dorse-disk-bijonu-ekersan"
"76","25","sales-priority-1","767","ESP.01.39.01","9433340945 Mercedes Axor Porya Ön ESP.01.39.01","Porya","porya-grup","porya","5920.20","14","9433340945","Mercedes-Benz Axor | Axor 1840 | Axor 1843 | Axor 2528 | Axor 3228","yes","","","https://www.frenciniz.com/urun/767/9433340945-mercedes-axor-porya-on-esp-01-39-01-ekersan"
"77","25","sales-priority-1","753","ESP.08.08","A333K4561 Ford Cargo Porya 35/30","Porya","porya-grup","porya","7590.00","12","A333K4561","Ford Cargo | Ford Cargo 1846 | Ford Cargo 3230 | Ford Cargo 3238 | Ford Cargo 3542","yes","","","https://www.frenciniz.com/urun/753/a333k4561-ford-cargo-porya-35-30-ekersan"
"78","25","sales-priority-1","752","ESP.08.10","9C461106AA Ford Cargo Porya Ön ESP.08.10","Porya","porya-grup","porya","7438.20","7","9C461106AA, RF8C46, 1106AB","Ford Cargo | Ford Cargo 1846 | Ford Cargo 3230 | Ford Cargo 3238 | Ford Cargo 3542","yes","","","https://www.frenciniz.com/urun/752/9c461106aa-ford-cargo-porya-on-esp-08-10-ekersan"
"79","25","sales-priority-1","655","ESP.16.16.02","0327280140 Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Porya ESP.16.16.02","Porya","porya-grup","porya","10626.00","5","0327280140, 0327280100, 0327280190","BPW dorse dingili | BPW ECOPlus dingil | BPW treyler | BPW ECOPlus | BPW 9 ton","yes","","","https://www.frenciniz.com/urun/655/0327280140-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-porya-esp-16-16-02-ekersan"
"80","25","sales-priority-1","493","ESP.04.05","1391617 Volvo FH12 FM FL Scania P G R Porya","Porya","porya-grup","porya","11233.20","3","1391617, 1388906, 1818003, 2019853, 2120485","Scania P/G/R serisi | Volvo FH/FM | Scania P serisi | Scania G420 | Scania G440","yes","","","https://www.frenciniz.com/urun/493/1391617-volvo-fh12-fm-fl-scania-p-g-r-porya-ekersan"
"81","25","sales-priority-1","743","ESP.18.13","3307305600 Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Porya ESP.18.13","Porya","porya-grup","porya","8197.20","3","3307305600, 3307305601, 03307305603","SAF dorse dingili | SAF Holland treyler | Dorse porya / bijon grubu | SAF Holland | SAF Intradisc","yes","","","https://www.frenciniz.com/urun/743/3307305600-ford-cargo-saf-dorse-krone-dorse-kogel-dorse-porya-esp-18-13-ekersan"
"82","25","sales-priority-1","744","ESP.18.10","3307303000 Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Porya ESP.18.10","Porya","porya-grup","porya","7893.60","3","3307303000, 3307303001","SAF dorse dingili | SAF Holland treyler | Dorse porya / bijon grubu | SAF Holland | SAF Intradisc","yes","","","https://www.frenciniz.com/urun/744/3307303000-ford-cargo-saf-dorse-krone-dorse-kogel-dorse-porya-esp-18-10-ekersan"
"83","25","sales-priority-1","478","ESP.08.11","DC461106 (YENİ ÜRÜN) Ford Cargo Porya Ön ESP.08.11","Porya","porya-grup","porya","8500.80","2","DC461106 (YENİ ÜRÜN)","Ford Cargo | Ford Cargo 1846 | Ford Cargo 3230 | Ford Cargo 3238 | Ford Cargo 3542","yes","","","https://www.frenciniz.com/urun/478/dc461106-yeni-urun-ford-cargo-porya-on-esp-08-11-ekersan"
"84","27","sales-priority-1","972","8122-1","8682644620299 Ford Cargo Krone Dorse Kögel Dorse 16/24 D/P İmdatlı Fren Körüğü 64 mm Disk Tipi","Fren Körüğü","fren-korukleri","fren diski","3300.00","1985","8682644620299","Disk fren imdatlı fren körüğü | Kampana fren imdatlı fren körüğü | Dorse fren körüğü | Krone dorse | Kögel dorse","yes","","","https://www.frenciniz.com/urun/972/8682644620299-ford-cargo-krone-dorse-kogel-dorse-16-24-d-p-imdatli-fren-korugu-64-mm-disk-tipi"
"85","27","sales-priority-1","962","8109","8682644620022 Renault Premium Magnum Kerax Midlum D Serisi İmdatlı Fren Körüğü Servis 8109","Fren Körüğü","fren-korukleri","fren körüğü","1267.20","1251","8682644620022","Renault Trucks | Disk fren imdatlı fren körüğü | Kampana fren imdatlı fren körüğü | Dorse fren körüğü | Renault Premium 420","yes","","","https://www.frenciniz.com/urun/962/8682644620022-renault-premium-magnum-kerax-midlum-d-serisi-imdatli-fren-korugu-servis-8109"
"86","27","sales-priority-1","557","8108","8682644620046 Renault Premium Magnum Kerax Midlum D Serisi İmdatlı Fren Körüğü 30 Luk Servis","Fren Körüğü","fren-korukleri","fren körüğü","1267.20","1238","8682644620046","Renault Trucks | Disk fren imdatlı fren körüğü | Kampana fren imdatlı fren körüğü | Dorse fren körüğü | Renault Premium 420","yes","","","https://www.frenciniz.com/urun/557/8682644620046-renault-premium-magnum-kerax-midlum-d-serisi-imdatli-fren-korugu-30-luk-servis"
"87","27","sales-priority-1","953","8132","8642644620329 Ford Cargo Krone Dorse Kögel Dorse 20/24 D/P İmdatlı Fren Körüğü 64 mm Disk Tipi","Fren Körüğü","fren-korukleri","fren diski","3432.00","1170","8642644620329","Disk fren imdatlı fren körüğü | Kampana fren imdatlı fren körüğü | Dorse fren körüğü | Krone dorse | Kögel dorse","yes","","","https://www.frenciniz.com/urun/953/8642644620329-ford-cargo-krone-dorse-kogel-dorse-20-24-d-p-imdatli-fren-korugu-64-mm-disk-tipi"
"88","27","sales-priority-1","961","8110","8682644620176 Renault Premium Magnum Kerax Midlum D Serisi İmdatlı Fren Körüğü Servis 8110","Fren Körüğü","fren-korukleri","fren körüğü","1320.00","1075","8682644620176-8682644620183-8682644620190","Renault Trucks | Disk fren imdatlı fren körüğü | Kampana fren imdatlı fren körüğü | Dorse fren körüğü | Renault Premium 420","yes","","","https://www.frenciniz.com/urun/961/8682644620176-renault-premium-magnum-kerax-midlum-d-serisi-imdatli-fren-korugu-servis-8110"
"89","27","sales-priority-1","968","8103","8682644620435 Ford Cargo Krone Dorse Kögel Dorse 24/30 D/D İmdatlı Fren Körüğü Disk Tipi 8103","Fren Körüğü","fren-korukleri","fren diski","2772.00","1032","8682644620435","Disk fren imdatlı fren körüğü | Kampana fren imdatlı fren körüğü | Dorse fren körüğü | Krone dorse | Kögel dorse","yes","","","https://www.frenciniz.com/urun/968/8682644620435-ford-cargo-krone-dorse-kogel-dorse-24-30-d-d-imdatli-fren-korugu-disk-tipi-8103"
"90","27","sales-priority-1","958","8121-1","8682644620268 Ford Cargo Krone Dorse Kögel Dorse 24/24 D/P İmdatlı Fren Körüğü 64 mm Disk Tipi","Fren Körüğü","fren-korukleri","fren diski","3300.00","582","8682644620268","Disk fren imdatlı fren körüğü | Kampana fren imdatlı fren körüğü | Dorse fren körüğü | Krone dorse | Kögel dorse","yes","","","https://www.frenciniz.com/urun/958/8682644620268-ford-cargo-krone-dorse-kogel-dorse-24-24-d-p-imdatli-fren-korugu-64-mm-disk-tipi"
"91","27","sales-priority-1","666","8102","8682644620367 Ford Cargo Krone Dorse Kögel Dorse 24/30 D/P İmdatlı Fren Körüğü M22 Disk Tipi","Fren Körüğü","fren-korukleri","fren diski","3432.00","270","8682644620367","Disk fren imdatlı fren körüğü | Kampana fren imdatlı fren körüğü | Dorse fren körüğü | Krone dorse | Kögel dorse","yes","","","https://www.frenciniz.com/urun/666/8682644620367-ford-cargo-krone-dorse-kogel-dorse-24-30-d-p-imdatli-fren-korugu-m22-disk-tipi"
"92","26","sales-priority-1","51","ESC 80159","6234201538 Mercedes Axor Actros Otomatik Fren Cırcırı ESC 80159","Otomatik Fren Cırcırı","circir","fren circiri","1452.00","362","6234201538-6234201338-6194200338-6194200138-1662201-4731204-4731337-4731790-4731303-10644-2145-2050-14718-42145-42050-42990-7223","Mercedes-Benz Actros | Mercedes-Benz Axor | Actros 1840 | Actros 1841 | Actros 1844","yes","","","https://www.frenciniz.com/urun/51/6234201538-mercedes-axor-actros-otomatik-fren-circiri-esc-80159-ekersan"
"93","26","sales-priority-1","52","ESC 80158","4731329 Mercedes Axor Actros Otomatik Fren Cırcırı ESC 80158","Otomatik Fren Cırcırı","circir","fren circiri","1452.00","300","4731329-4731196-1662200-6194200038-6194200238-6234201238-6234201438-6584200238-6524200038-4335767100-4335767120-4335767240-94242","Mercedes-Benz Actros | Mercedes-Benz Axor | Actros 1840 | Actros 1841 | Actros 1844","yes","","","https://www.frenciniz.com/urun/52/4731329-mercedes-axor-actros-otomatik-fren-circiri-esc-80158-ekersan"
"94","26","sales-priority-1","60","ESC 114075","352194 Ford Cargo Krone Dorse Kögel Dorse Fren Cırcırı","Fren Cırcırı","circir","fren circiri","1082.40","204","352194-31561-18883-8047-77743-100114075","Dorse / treyler | Fruehauf dorse dingili | SMB dorse dingili | Krone dorse | Kögel dorse","yes","","","https://www.frenciniz.com/urun/60/352194-ford-cargo-krone-dorse-kogel-dorse-fren-circiri-ekersan"
"95","25","sales-priority-1","403","ESC 79361","81506106084 MAN TGA TGS TGX TGM Otomatik Fren Cırcırı Sağ Ön","Otomatik Fren Cırcırı","circir","fren circiri","1452.00","74","81506106084-81506106154-81506106212-81506107154-79211-72971-72321-70723-2090-42090-14722-4731642","MAN TGA 18.430 | MAN TGA 18.460 | MAN TGS 18.440 | MAN TGS 40.360 | MAN TGX 40.460","yes","","","https://www.frenciniz.com/urun/403/81506106084-man-tga-tgs-tgx-tgm-otomatik-fren-circiri-sag-on-ekersan"
"96","25","sales-priority-1","402","ESC 79373","42620 MAN TGA TGS TGX TGM Fren Cırcırı Sağ","Fren Cırcırı","circir","fren circiri","1452.00","51","42620-2620-6001-72508-72985-70964-70730-60001-4731725-1004000-815061032188-81506106220-81506106188-81506106128-81506106078","MAN TGA 18.430 | MAN TGA 18.460 | MAN TGS 18.440 | MAN TGS 40.360 | MAN TGX 40.460","yes","","","https://www.frenciniz.com/urun/402/42620-man-tga-tgs-tgx-tgm-fren-circiri-sag-ekersan"
"97","25","sales-priority-1","408","ESC 72877","72727 Scania P G R Fren Cırcırı ESC 72877","Fren Cırcırı","circir","fren circiri","1452.00","50","72727","Scania P/G/R serisi | Scania P serisi | Scania G420 | Scania G440 | Scania R420","yes","","","https://www.frenciniz.com/urun/408/72727-scania-p-g-r-fren-circiri-esc-72877-ekersan"
"98","25","sales-priority-1","407","ESC 72878","72728 Scania P G R Fren Cırcırı ESC 72878","Fren Cırcırı","circir","fren circiri","1452.00","44","72728","Scania P/G/R serisi | Scania P serisi | Scania G420 | Scania G440 | Scania R420","yes","","","https://www.frenciniz.com/urun/407/72728-scania-p-g-r-fren-circiri-esc-72878-ekersan"
"99","24","sales-priority-1","636","30-3750","640 222 928 2 ROR Meritor Knorr WABCO Kaliper 30-3750","Kaliper","kaliper-urunleri","kaliper tamir","1878.36","10","640 222 928 2","Knorr / WABCO / Meritor kaliper uygulamaları | Disk fren montaj sistemi | ROR dorse | Meritor/ROR | Gigant aks","yes","","","https://www.frenciniz.com/urun/636/640-222-928-2-ror-meritor-knorr-wabco-kaliper-30-3750-ekersan"
"100","24","sales-priority-1","676","20-2390","MCK1116 ROR Meritor Knorr WABCO Kaliper 20-2390","Kaliper","kaliper-urunleri","kaliper tamir","1834.80","8","MCK1116, 1489197, 85102094, AMMCK1116, 5021202776, 1489197, STRMCK1116","Meritor ELSA/DUCO kaliper sistemi | Volvo FH/FM | Renault Trucks Premium/Magnum | DAF CF/XF | Knorr / WABCO / Meritor kaliper uygulamaları","yes","","","https://www.frenciniz.com/urun/676/mck1116-ror-meritor-knorr-wabco-kaliper-20-2390-ekersan"
