sku,name,category_id,category_name,stock,b2b_price,site_price_est,sales_count,oem,has_image,image_count,path,source_id
20-2606,KALİPER MEKANİZMA DİŞLİ KAPAK,kaliper-kapak-conta,Kaliper Kapak/Conta,27,3950.0,5214.0,0.0,,True,1,/kaliper-mekanizma-disli-kapak-p1362,1362
ESK 160 06,KAMPANA SERTEL 42'LİK UZUN,fren-kampanasi,Fren Kampanası,22,6263.344659,8267.61,0.0,2803,True,2,/kampana-sertel-42-lik-uzun-p5069,5069
EYD 700 05,SERTEL PORYA KAPAĞI 153 ALÜMİNYUM,porya,Porya,21,440.0,580.8,0.0,,True,3,/sertel-porya-kapagi-153-aluminyum-p5472,5472
PWR-5021,BALATA ATECO DİSK (29093),fren-balatasi,Fren Balatası,20,1753.2175,2314.25,0.0,29093,True,1,/balata-ateco-disk-29093-p7105,7105
EYD 70 28,522 PRO FREN YAYI (KÜÇÜK),yay,Yay,20,40.0,52.8,0.0,,True,1,/522-pro-fren-yayi-kucuk-p5462,5462
421248,KALİPER TAMİR TAKIMI KOMPLE (Ø69 MM),kaliper,Kaliper,20,3400.0,4488.0,0.0,,True,1,/kaliper-tamir-takimi-komple-o69-mm-p2099,2099
CHS5006,B.V YENİ SET KOMPLE SOL,kaliper-tamir-takimi,Kaliper Tamir Takımı,19,8470.0,11180.4,0.0,,True,1,/b-v-yeni-set-komple-sol-p28178,28178
30-3490,PAN17-19-22 RULMAN TK,rulman,Rulman,19,275.0,363.0,0.0,,True,1,/pan17-19-22-rulman-tk-p1491,1491
EYD 100 69-K,9 Nolu Körük Lastiği DERİN KÖRÜKSAN,fren-korugu,Fren Körüğü,19,110.0,145.2,0.0,,False,0,/9-nolu-koruk-lastigi-derin-koruksan-p31974,31974
ESB 840 11-L,BİJON MITSUBISHI ARKA/SOL/ÇAKMALI-102 MM,bijon,Bijon,18,240.5446378335,317.52,0.0,,True,3,/bijon-mitsubishi-arka-sol-cakmali-102-mm-p4411,4411
CDF-88430,"135*156,7*8/10,5 NBR ARKA AKS PORYA BPW İLAVE",porya,Porya,18,8.25,10.89,0.0,,True,1,/135-156-7-8-10-5-nbr-arka-aks-porya-bpw-ilave-p24708,24708
PWR-5023,BALATA PWR (29211),fren-balatasi,Fren Balatası,18,2222.25,2933.37,0.0,29211,True,1,/balata-pwr-29211-p7107,7107
20-2581,KALİPER MİL KEÇE TM.TK.,kaliper-tamir-takimi,Kaliper Tamir Takımı,14,1980.0,2613.6,0.0,CMKS.7.1,True,1,/kaliper-mil-kece-tm-tk-p1357,1357
ESD 010 20,Fren Diski,fren-diski,Fren Diski,13,3594.937467,4745.32,0.0,"9704230412, 9704231212",True,2,/fren-diski-p4910,4910
CH1163,Kaliper Köprü Bağlantı Ve Cıvata Tk.,kaliper,Kaliper,12,1419.0,1873.08,0.0,,True,2,/kaliper-kopru-baglanti-ve-civata-tk-p33191,33191
CH1190,SB7 RULMAN YATAĞI (OTOBÜS TİPİ),kaliper-tamir-takimi,Kaliper Tamir Takımı,12,1950.0,2574.0,0.0,BUS CITARO - BUS LIONS CITY A25 A26 A39 - A308 A309 A330 AG330 AGG330 - CENTROLINER N4516 N4520 - EVOBUS CITYBUS A20 S3,True,1,/sb7-rulman-yatagi-otobus-tipi-p27377,27377
CH1168,SB5/SB6/SB7 TIRNAKSIZ RULMAN TAKIMI,kaliper-tamir-takimi-wabco,Kaliper Tamir Takımı (Wabco),12,400.0,528.0,0.0,CKSK.14,True,1,/sb5-sb6-sb7-tirnaksiz-rulman-takimi-p27356,27356
CH1016,Piston Tapet & Lastik Tamir Takımı 74 mm,lastik,Lastik,12,630.0,831.6,0.0,K000944 - K010604 - 000 420 0682 - 000 420 3982 - 000 420 4882 - 81.50822.6007 - 81.50822.6022 - 81.50822.6032 - 93162050,True,1,/piston-tapet-lastik-tamir-takimi-74-mm-p27244,27244
10-1282,FREENCO KALİPER,kaliper,Kaliper,12,820.0,1082.4,0.0,,True,1,/freenco-kaliper-p16245,16245
10-1055,SL7 SM7 TEK TIRNAKLI RULMAN,kaliper-tamir-takimi-wabco,Kaliper Tamir Takımı (Wabco),12,320.0,422.4,0.0,,True,1,/sl7-sm7-tek-tirnakli-rulman-p950,950
03.6005.300.021.00,PABUÇ 420/220 BURÇLU 275 - ÖZK,fren-pabucu,Fren Pabucu,12,1850.0,2442.0,0.0,4320,True,2,/pabuc-420-220-burclu-275-ozk-p564,564
CH2140,ELSA2-195-225 RULMAN YATAGI DÖKÜM,kaliper-tamir-takimi,Kaliper Tamir Takımı,10,678.0,894.96,0.0,,True,1,/elsa2-195-225-rulman-yatagi-dokum-p27577,27577
60-6064 (80-8064),KALİPER PLASTİK TAPA,kaliper,Kaliper,10,400.0,528.0,0.0,,True,1,/kaliper-plastik-tapa-p23377,23377
60-6090 (80-8090),FRENCOO SF HDX MODUL T AYAR CİVATA DİŞLİSİ,kaliper-tamir-takimi-frenco,Kaliper Tamir Takımı (Frenco),10,550.0,726.0,0.0,,True,1,/frencoo-sf-hdx-modul-t-ayar-civata-dislisi-p12179,12179
60-6078 (80-8078),FRENCOO KALİPER İPAT TUTUCU TAMİR TAKIMI,kaliper,Kaliper,10,205.0,270.6,0.0,,True,1,/frencoo-kaliper-ipat-tutucu-tamir-takimi-p11335,11335
425292,GERİ GETİRME YAYI (CARGO YAY 124),yay,Yay,10,90.0,118.8,0.0,,True,1,/geri-getirme-yayi-cargo-yay-124-p2682,2682
KIZAK 10507,MERSEDES AXOR ARKA KIZAK 29167 BALATA,kizak,Kızak,8,3000.0,3960.0,0.0,"K000027 , 000423060",True,1,/mersedes-axor-arka-kizak-29167-balata-p17132,17132
42284/1-293,Disk Balatası,fren-balatasi,Fren Balatası,8,1620.0,2138.4,0.0,681381001000 - 29174,True,1,/disk-balatasi-p14312,14312
ESP.22.02.01,PORYA ÖZKOÇ TRAX 4629,porya,Porya,8,4715.0,6223.8,0.0,,False,0,/porya-ozkoc-trax-4629-p4578,4578
425240,Körük Boğaz Somunu (Uzun),suspansiyon-korugu,Süspansiyon Körüğü,5,795.0,1049.4,0.0,93163852,True,1,/koruk-bogaz-somunu-uzun-p2643,2643
BK 08 2424,BAYKAR TİP 24/24 D/P DİSK İMDAT FREN KÖRÜĞÜ SOL,fren-korugu,Fren Körüğü,4,4500.0,5940.0,0.0,,True,1,/baykar-tip-24-24-d-p-disk-imdat-fren-korugu-sol-p15007,15007
60-6081 (80-8081),FRENCOO SF HDX MODUL T RULMAN TK ( ÜST),kaliper-tamir-takimi-frenco,Kaliper Tamir Takımı (Frenco),4,250.0,330.0,0.0,,True,1,/frencoo-sf-hdx-modul-t-rulman-tk-ust-p12181,12181
8121,24/24 D/P DİSK FREN KÖRÜK 57 MM,fren-korugu,Fren Körüğü,4,2750.0,3630.0,0.0,8682644620411-8682644620558-8682644620565,True,1,/24-24-d-p-disk-fren-koruk-57-mm-p3771,3771
FX-5070,KOMPLE KALİPER MEKANİZMA SETİ Y.M.SAĞ,kaliper-ayar-mekanizmasi,Kaliper Ayar Mekanizması,3,7605.0,10038.6,0.0,,True,1,/komple-kaliper-mekanizma-seti-y-m-sag-p17203,17203
ESP.16.02.04,BPW 12 TON JUMBO PORYA,porya,Porya,3,4025.0,5313.0,0.0,0327244400,True,1,/bpw-12-ton-jumbo-porya-p6615,6615
ESP.01.53,KOGEL DİSKLİ DİNGİL PORYASI,porya,Porya,2,5290.0,6982.8,0.0,000 350 2335,True,1,/kogel-diskli-dingil-poryasi-p30266,30266
ESP.01.58.01,MERSEDES AROX PORYA FLANŞI,porya,Porya,2,4715.0,6223.8,0.0,"9603340545, 9603341145, 9433341045",True,1,/mersedes-arox-porya-flansi-p19127,19127
SAF5387003118,Rulman Gress Yağı 18 Kg Saf,rulman,Rulman,2,286.0,377.52,0.0,,True,1,/rulman-gress-yagi-18-kg-saf-p14327,14327
60-6063 (80-8063),FRENCO SF HDX MODUL T KALİPER TAPASI SİYAH,kaliper,Kaliper,2,400.0,528.0,0.0,,True,1,/frenco-sf-hdx-modul-t-kaliper-tapasi-siyah-p13709,13709
423301.P01,KATLI KÖRÜK ÜÇ KATLI PRO-BMC,suspansiyon-korugu,Süspansiyon Körüğü,2,2915.0,3847.8,0.0,57RS3066424,True,1,/katli-koruk-uc-katli-pro-bmc-p5112,5112
10-1275,KALİPER MASURA BİLYA YATAĞI,kaliper-tamir-takimi,Kaliper Tamir Takımı,2,750.0,990.0,0.0,,True,1,/kaliper-masura-bilya-yatagi-p980,980
10-1274,KALİPER MASURA BİLYA YATAĞI,kaliper-tamir-takimi,Kaliper Tamir Takımı,2,750.0,990.0,0.0,,True,1,/kaliper-masura-bilya-yatagi-p979,979
ESP.22.06.02,AKKAR DİNGİL PORYA A1 KAMPANALI (150 bilya),porya,Porya,2,4887.5,6451.5,0.0,,False,0,/akkar-dingil-porya-a1-kampanali-150-bilya-p4587,4587
CH3282,ARCS KALİPER TAŞIYICI ARKA SOL,kaliper-ayar-mekanizmasi,Kaliper Ayar Mekanizması,1,6050.0,7986.0,0.0,000 423 2306 - 640 915 744 4,True,1,/arcs-kaliper-tasiyici-arka-sol-p27995,27995
CH3281,ARCS KALİPER TAŞIYICI ARKA SAĞ,kaliper-ayar-mekanizmasi,Kaliper Ayar Mekanizması,1,6050.0,7986.0,0.0,000 423 2206 - 640 915 745 4,True,1,/arcs-kaliper-tasiyici-arka-sag-p27994,27994
FX-2040,ELSA-2 RADIAL RNLT 420 - MN TGA SET SAĞ,kaliper-tamir-takimi-elsa,Kaliper Tamir Takımı (Elsa),1,7800.0,10296.0,0.0,,True,1,/elsa-2-radial-rnlt-420-mn-tga-set-sag-p19538,19538
FX-5080,KOMPLE KALİPER MEKANİZMA SETİ YENİ MODEL SOL,kaliper-ayar-mekanizmasi,Kaliper Ayar Mekanizması,1,7605.0,10038.6,0.0,,True,1,/komple-kaliper-mekanizma-seti-yeni-model-sol-p17204,17204
20-2510,DUCO MEKANİZMA SABİTLEME SACI,kaliper-tamir-takimi-duco,Kaliper Tamir Takımı (Duco),1,170.0,224.4,0.0,68322900,True,1,/duco-mekanizma-sabitleme-saci-p13351,13351
20-2486,ELSA195 RULMAN YATAĞI,kaliper-tamir-takimi,Kaliper Tamir Takımı,1,1335.0,1762.2,0.0,,True,1,/elsa195-rulman-yatagi-p12895,12895
ESP.01.10,PORYA 2622-2517 MERS. DİNGİL,porya,Porya,1,6555.0,8652.6,0.0,"3713567001, 3713560001",True,1,/porya-2622-2517-mers-dingil-p6436,6436
ESP.01.09,PORYA 2521-2524 CERLİ ÇEKİÇİ,porya,Porya,1,6325.0,8349.0,0.0,"3553563601, 6173560501, 3553563901, 3553563501, 3463560401",True,1,/porya-2521-2524-cerli-cekici-p6434,6434
60-6310 (80-8310),KALİPER TAMİR TAKIMI,kaliper,Kaliper,1,4800.0,6336.0,0.0,,True,1,/kaliper-tamir-takimi-p3307,3307
