"id","sku","name","category","group","stock","price","oem","url","next_action"
"1","ESC 1760-1","Mekanik Fren Cırcırı 7 Delik 10 Kanal (EUR)","Mekanik Fren Cırcırı","CIRCIR","600","1082.4","517465130-517465130-517465220-100001760-24490-A3450","https://www.frenciniz.com/urun/1","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"2","ESB 1315 10","BİJON ROR DORSE-95 MM","Bijon","BİJON","155","218.55","21022167","https://www.frenciniz.com/urun/2","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"3","ESC 79458","RENAULT OTOMOTİK FREN CIRCIRI 3717 GÖVDE","Otomatik Fren Cırcırı","CIRCIR","25","1452","14632, 79308, 79075, 79308, 5010260115, 79308, 4W3055","https://www.frenciniz.com/urun/3","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"4","ESC 79445","Otomatik Fren Cırcırı Renault Midlum Premium Magnum","Otomatik Fren Cırcırı","CIRCIR","29","1452","5010098861, 50010098861, 14634, 79295, 72799, 05010098861, 4W2925, KB2925","https://www.frenciniz.com/urun/4","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"5","ESC 79444","Otomatik Fren Cırcırı Renault Midlum Premium Magnum","Otomatik Fren Cırcırı","CIRCIR","14","1452","5010098860, 50010098860, 14633, 79294, 72798, 05010098860, 4W2920, 4W2920, KB2920","https://www.frenciniz.com/urun/5","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"7","ESD 220 03","KRONE 430 GÖBEKLİ DİSK","Fren Diski","DİSK","179","4918.32","","https://www.frenciniz.com/urun/7","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"252","ESB 112 20-1","Mercedes Ön Bijon 84 mm D.P.S.Li","Bijon","BİJON","2298","178.69","3814011271-3814010071","https://www.frenciniz.com/urun/252","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"282","ESD 030 25","DİSK İVECO T-WAY ÖN (5802234113)","Fren Diski","DİSK","54","4945.25","5802234113","https://www.frenciniz.com/urun/282","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"364","ESB 2032 10","Bijon","Bijon","BİJON","30700","199.31","","https://www.frenciniz.com/urun/364","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"421","EYD 700 14-1","BPW PORYA KAPAĞI GEÇMELİ - TIRNAKLI ORJİNAL YAZILI","Porya","PORYA","6","699.6","","https://www.frenciniz.com/urun/421","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"422","FT 34810-K04F","DORSE KÖRÜĞÜ KOMPLE KÖRÜK","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","22","3300","","https://www.frenciniz.com/urun/422","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
