"id","sku","name","category","group","stock","price","oem","url","next_action"
"423","421128-1","Kaliper Mekanizması Bilyalı YILDIZ BAŞLI","Kaliper Ayar Mekanizması","KALİPER ÜRÜNLERİ","250","726","","https://www.frenciniz.com/urun/423","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"424","EYD 92 30","AKS SOMUN BÜYüK YENİ MODEL VİDALI","Somun / Cıvata","BİJON","186","1056","","https://www.frenciniz.com/urun/424","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"425","EYD 70 67","YTE DORSE YAYI","Yay","FREN YAYLARI","76","66","","https://www.frenciniz.com/urun/425","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"427","EYD 700 06-1","SERTEL PORYA KAPAĞI ALÜMİNYUM KÜÇÜK M135-22","Porya","PORYA","2","462","","https://www.frenciniz.com/urun/427","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"428","FT 34644","Roll Körük BPW ECOPlus","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","22","1320","0003270101 , 0003270201 , 3073270101 ,1134445","https://www.frenciniz.com/urun/428","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"429","FT 3498608-KP","PİSTONLU KOMPLE KÖRÜK","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","13","2970","","https://www.frenciniz.com/urun/429","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"430","FT 34720","Roll Körük MAN TGA TGS TGX","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","74","1320","3873280101 , 81436010033 , 1629193 , 0220024100","https://www.frenciniz.com/urun/430","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"431","EYD 92 28","AKS SOMUN BP E.M BÜYÜK","Somun / Cıvata","BİJON","169","1056","","https://www.frenciniz.com/urun/431","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"432","EYD 70 04-3","TIRSAN DORSE KISA YAY 24 CM","Yay","FREN YAYLARI","300","72.6","(A) B4","https://www.frenciniz.com/urun/432","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"433","EF-4410329880","MAN ABS SENSÖRÜ SAĞ 300CM","ABS Sensörü/Modülü/Kablo","SENSÖR VE UZATMALAR","20","831.6","","https://www.frenciniz.com/urun/433","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"434","EF-4410329870","MAN ABS SENSÖRÜ SOL 300CM","ABS Sensörü/Modülü/Kablo","SENSÖR VE UZATMALAR","20","831.6","","https://www.frenciniz.com/urun/434","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"435","EYD 70 66","JUMBO DORSE YAYI BPV","Yay","FREN YAYLARI","30","66","","https://www.frenciniz.com/urun/435","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"436","8106-2","24/24 D/P İMD.FREN KÖRÜĞÜ M22 57 mm","Fren Körüğü","FREN KÖRÜKLERİ","120","3168","","https://www.frenciniz.com/urun/436","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"437","EYD 100 67-K","20 Nolu Körük Lastiği DERİN KÖRÜKSAN","Fren Körüğü","FREN KÖRÜKLERİ","50","188.76","","https://www.frenciniz.com/urun/437","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"438","EYD 100 66-K","16 Nolu Körük Lastiği DERİN KÖRÜKSAN","Fren Körüğü","FREN KÖRÜKLERİ","52","181.5","","https://www.frenciniz.com/urun/438","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"439","EYD 100 65-K","36 Nolu Körük Lastiği DERİN KÖRÜKSAN","Fren Körüğü","FREN KÖRÜKLERİ","10","236.28","","https://www.frenciniz.com/urun/439","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"440","EYD 100 51-K","12 Nolu Körük Lastiği DERİN KÖRÜKSAN","Fren Körüğü","FREN KÖRÜKLERİ","15","166.98","","https://www.frenciniz.com/urun/440","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"441","EYD 100 63-K","30 Nolu Körük Lastiği DERİN KÖRÜKSAN","Fren Körüğü","FREN KÖRÜKLERİ","30","216.48","","https://www.frenciniz.com/urun/441","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"442","EYD 100 62-K","24 Nolu Körük Lastiği DERİN KÖRÜKSAN","Fren Körüğü","FREN KÖRÜKLERİ","20","204.6","","https://www.frenciniz.com/urun/442","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"443","EYD 100 61-K","20 Nolu Körük Lastiği DÜZ KÖRÜKSAN","Fren Körüğü","FREN KÖRÜKLERİ","15","181.5","","https://www.frenciniz.com/urun/443","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"444","EYD 100 60-K","16 Nolu Körük Lastiği DÜZ KÖRÜKSAN","Fren Körüğü","FREN KÖRÜKLERİ","10","174.24","","https://www.frenciniz.com/urun/444","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"445","EYD 100 40-K","30 Nolu Körük Lastiği DÜZ KÖRÜKSAN","Fren Körüğü","FREN KÖRÜKLERİ","15","211.2","","https://www.frenciniz.com/urun/445","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"446","FT 34220-2P01","İKİ KATLI KÖRÜK ÇAPRAZ","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","221","726","","https://www.frenciniz.com/urun/446","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"448","424705.S01","Pistonsuz Körük MAN TGA TGS TGX","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","19","2277","81436010155","https://www.frenciniz.com/urun/448","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"451","FT 344022","SAF PİSTONSUZ KÖRÜK","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","20","1518","","https://www.frenciniz.com/urun/451","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"452","FT 344183","Pistonsuz Körük","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","25","1518","","https://www.frenciniz.com/urun/452","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"453","FX-3180","FRENCO KALİPER TM.TK.SAF - SOL","Kaliper Tamir Takımı","KALİPER ÜRÜNLERİ","1","5893.8","","https://www.frenciniz.com/urun/453","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"454","EYD 075059","SAF JUMBO PABUÇ MAKARASI","Fren Pabucu","FREN PABUÇLARI","1","145.2","","https://www.frenciniz.com/urun/454","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"456","FT 34813-K","METAL PİSTONLU KOMPLE KÖRÜK","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","55","2178","","https://www.frenciniz.com/urun/456","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"460","ARF 16/24 D/P - R","ARFESAN 16/24 D/P DİSK TİPİ İMDATLI KÖRÜK SAĞ","Fren Körüğü","FREN KÖRÜKLERİ","43","5940","23.616.24.63","https://www.frenciniz.com/urun/460","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"462","ARF 24 SFK D - L","ARFESAN 24 LÜK SFK DiSK FREN KÖRÜĞÜ SOL","Fren Körüğü","FREN KÖRÜKLERİ","41","1980","01.124.00.08","https://www.frenciniz.com/urun/462","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"464","ARF 20 SFK D - R","ARFESAN 20 LİK SFK DiSK FREN KÖRÜĞÜ SAĞ","Fren Körüğü","FREN KÖRÜKLERİ","57","1980","01.120.00.93","https://www.frenciniz.com/urun/464","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"465","ARF 30/30 D/P- K","ARFESAN 30/30 D/P KAMPANA TİPİ İMDATLI KÖRÜK","Fren Körüğü","FREN KÖRÜKLERİ","94","6270","23.730.30.06","https://www.frenciniz.com/urun/465","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"466","ARF 24/24 D/P- K","ARFESAN 24/24 D/P KAMPANA TİPİ İMDATLI KÖRÜK","Fren Körüğü","FREN KÖRÜKLERİ","23","6270","23.724.24.158","https://www.frenciniz.com/urun/466","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"468","ARF 20/24 D/P","ARFESAN 20/24 D/P DİSK TİPİ İMDATLI KÖRÜK","Fren Körüğü","FREN KÖRÜKLERİ","106","5940","30.620.24.09 - 30.620.24.08 - 23.620.24.42","https://www.frenciniz.com/urun/468","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"469","ARF 16/24 D/P - L","ARFESAN 16/24 D/P DİSK TİPİ İMDATLI KÖRÜK SOL","Fren Körüğü","FREN KÖRÜKLERİ","58","5940","23.616.24.62","https://www.frenciniz.com/urun/469","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"470","ARF 20 SFK D - L","ARFESAN 20 LİK SFK DiSK FREN KÖRÜĞÜ SOL","Fren Körüğü","FREN KÖRÜKLERİ","57","1980","01.120.00.92","https://www.frenciniz.com/urun/470","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"485","427003.S","GİGANT KRONE DORSE PİSTONSUZ -","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","57","2178","515069174S , 09377003S","https://www.frenciniz.com/urun/485","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"487","425832.CP","FORD F-MAX CEKİCİ PLASTİK PİSTONLU","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","98","2904","","https://www.frenciniz.com/urun/487","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"488","ESP.30.04","SERTEL DİSKLİ PORYA 200 MM BOY","Porya","PORYA","3","6223.8","","https://www.frenciniz.com/urun/488","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"489","ESP.30.03","SERTEL DİSKLİ PORYA BOY 192 BOY","Porya","PORYA","1","5920.2","","https://www.frenciniz.com/urun/489","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"491","EYD 92 07","AYDIN DİNGİL SOMUNU","Bijon","BİJON","43","462","","https://www.frenciniz.com/urun/491","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"492","EYD 92 06","MUSTAFA CEYLAN DİNGİL SOMUNU","Bijon","BİJON","42","462","","https://www.frenciniz.com/urun/492","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"534","421889.C","FORD CARGO ÖN SÜSPANSYON KÖRÜK KOMPLE","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","5","2956.8","9C465580BAN , t179769","https://www.frenciniz.com/urun/534","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"538","EYD 80 33","24V ELEKTRİK KABLOSU (DİŞİ)","Elektrik Kablosu","SENSÖR VE UZATMALAR","5","28.38","","https://www.frenciniz.com/urun/538","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"539","EYD 80 32","24V ELEKTRİK KABLOSU (ERKEK)","Elektrik Kablosu","SENSÖR VE UZATMALAR","3","28.38","","https://www.frenciniz.com/urun/539","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"549","424159.CP","KOMPLE KÖRÜK PLSTİK  PİSTON","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","21","3036","UJA0894001 , MLF7035","https://www.frenciniz.com/urun/549","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"550","303.08.0001.02","Ebs Dorse Kontrol Ventili Tamir Takimi","EBS Modülatör","SENSÖR VE UZATMALAR","1","29.3","","https://www.frenciniz.com/urun/550","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"558","EYD 100 71-1","BPW ESKOL TM TK YARIM","Fren Körüğü","FREN KÖRÜKLERİ","296","396","","https://www.frenciniz.com/urun/558","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"563","ESP.26.27","PORYA SERİN DORSE PLOT KAMPANALI KISA (804708) SERİN KODU","Porya","PORYA","3","8045.4","","https://www.frenciniz.com/urun/563","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"566","426290.S1","KÖRÜK","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","4","1821.6","","https://www.frenciniz.com/urun/566","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"601","424930.S","SCANIA Y.M.ÇEKER ÖN SÜSPANSİYON KÖRÜK LASTİK","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","48","1914","","https://www.frenciniz.com/urun/601","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"602","424933.S","SCANIA Y.M. ÇEKECİ SÜSPANSİYON KÖRÜK LASTİK","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","48","2112","","https://www.frenciniz.com/urun/602","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"603","424933.C","SCANIA Y.M (ÇEKER ARKA)","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","43","3828","2617887 , 1434933 , 1434933","https://www.frenciniz.com/urun/603","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"604","424930.CP","SCANİA Y.M (ÇEKER ÖN)","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","48","2640","1434930 , 1932592 ,2617884","https://www.frenciniz.com/urun/604","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"612","424713.C","VOLVO KOMPLE PİSTONLU KÖRÜK","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","139","3036","20554755 , MLF7098 , MLF7098","https://www.frenciniz.com/urun/612","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"613","424156.C","Fruehauf","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","34","3036","","https://www.frenciniz.com/urun/613","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"616","424881.S","Bpw / Daf-Tırsan Yeni KISA","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","97","2145","0542941010","https://www.frenciniz.com/urun/616","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"630","42810.C1","SÜSP.KÖRÜK KOMPLE 4 SAPLAMALI","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","7","3168","016010","https://www.frenciniz.com/urun/630","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"631","42722.S","LASTİK BMC KÖRÜK","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","28","2112","","https://www.frenciniz.com/urun/631","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"643","EYD 206 14","Mercedes Pabuç Makarası","Fren Pabucu","FREN PABUÇLARI","190","231","","https://www.frenciniz.com/urun/643","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"650","422211.P02","Katlı Körük Civatalı","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","144","1056","","https://www.frenciniz.com/urun/650","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"662","8115","24/24 D/P DİSK KÖRÜĞÜ İVECO TİPİ","Fren Körüğü","FREN KÖRÜKLERİ","124","3630","","https://www.frenciniz.com/urun/662","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"663","8114","20/24 D/P DİSK KÖRÜK İVECO TİPİ","Fren Körüğü","FREN KÖRÜKLERİ","58","3630","","https://www.frenciniz.com/urun/663","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"664","8113","16/24 D/P DİSK KÖRÜĞÜ İVECO TİPİ","Fren Körüğü","FREN KÖRÜKLERİ","4","3630","","https://www.frenciniz.com/urun/664","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"704","424915.S","Renault Premıum","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","18","2640","5001855856","https://www.frenciniz.com/urun/704","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"706","ESP.22.04.02","PORYA SERTEL S-1","Porya","PORYA","3","5616.6","","https://www.frenciniz.com/urun/706","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"746","ESP.16.29","PORYA 12 TONLUK PİLOT AXL-AKKAR BPW TİPİ","Porya","PORYA","4","6375.6","","https://www.frenciniz.com/urun/746","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"747","ESP.16.25","PORYA SEÇKİNSAN ESKİ MODEL 114","Porya","PORYA","1","8045.4","","https://www.frenciniz.com/urun/747","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"774","EYD 92 03","SAF DORSE KOVAN SOMUNU KÜÇÜK SOL","Somun / Cıvata","BİJON","177","415.8","","https://www.frenciniz.com/urun/774","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"795","EYD 80 07","SAF DORSE BİLYALI PABUÇ 18 CM","Fren Pabucu","FREN PABUÇLARI","30","1518","(A) G4 - 3054.0120.00","https://www.frenciniz.com/urun/795","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"797","EYD 80 05","FRUHAUF DORSE 20 CM PABUÇ","Fren Pabucu","FREN PABUÇLARI","20","1221","","https://www.frenciniz.com/urun/797","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"832","EYD 500 05-2-2","KAPLİN LASTİĞİ Y.M.","Lastik","FREN KÖRÜKLERİ","837","13.2","","https://www.frenciniz.com/urun/832","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"850","EYD 206 09","SÜPER MAN FREN PABUCU 22 CM TEK TARAFLI SAĞ","Fren Pabucu","FREN PABUÇLARI","18","2211","(A) D3","https://www.frenciniz.com/urun/850","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"852","EYD 206 06","MERCEDES FREN PABUCU 16 CM","Fren Pabucu","FREN PABUÇLARI","12","2145","(A) D3 - 393.420.07.19","https://www.frenciniz.com/urun/852","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"854","EYD 206 04","FATİH CARGO FREN PABUCU 17.5 CM","Fren Pabucu","FREN PABUÇLARI","2","924","","https://www.frenciniz.com/urun/854","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"866","EYD 100 71","Bpw ""S"" Kolu Tamir Takımı","Fren Körüğü","FREN KÖRÜKLERİ","287","462","","https://www.frenciniz.com/urun/866","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"895","42722.C","KOMPLE BMC KÖRÜK","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","41","4092","","https://www.frenciniz.com/urun/895","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"901","424915.C","Komple Körük","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","14","4026","20757541 , 20757541 , 20757541 , 20757541","https://www.frenciniz.com/urun/901","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"910","424718.S","Volvo","Süspansiyon Körüğü","SÜSP. KÖRÜĞÜ","84","1617","","https://www.frenciniz.com/urun/910","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"940","ESS 025 20-3","SOMUN KISA DÖNER PULLU 22*1,5 DAKROMATLI","Somun / Cıvata","BİJON","55436","73.37","","https://www.frenciniz.com/urun/940","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"946","ESP.22.08","PORYA ÖZKOÇ 4646 DİSK PORYA E.M","Porya","PORYA","1","4488","","https://www.frenciniz.com/urun/946","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"947","ESP.22.06.01","AKKAR DİNGİL DİSKLİ PORYA A2","Porya","PORYA","1","6527.4","","https://www.frenciniz.com/urun/947","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"948","ESP.22.05.01","AYDIN DİNGİL PORYA KAMPANALI","Porya","PORYA","1","6375.6","","https://www.frenciniz.com/urun/948","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"949","ESP.22.04.01","PORYA SERTEL T4 - K4","Porya","PORYA","3","6375.6","","https://www.frenciniz.com/urun/949","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"950","ESP.22.03.01","PORYA OSMAN KOÇ K1","Porya","PORYA","4","7134.6","","https://www.frenciniz.com/urun/950","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"952","8138","16/24 D/D DİSK KÖRÜĞÜ","Fren Körüğü","FREN KÖRÜKLERİ","797","2772","","https://www.frenciniz.com/urun/952","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"954","8131","16'LIK SERVİS FREN KÖRÜĞÜ DİSK","Fren Körüğü","FREN KÖRÜKLERİ","1351","1320","","https://www.frenciniz.com/urun/954","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"955","8129","20'LİK SERVİS FREN KÖRÜĞÜ DİSK","Fren Körüğü","FREN KÖRÜKLERİ","751","1320","","https://www.frenciniz.com/urun/955","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"956","8127","9/6200 CARGO İMD.FREN KÖRÜĞÜ","Fren Körüğü","FREN KÖRÜKLERİ","38","3168","(A) A2","https://www.frenciniz.com/urun/956","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
"1017","42325/1-300","Disk Balatası (29279)","Fren Balatası","BALATA","16","2059.2","29279","https://www.frenciniz.com/urun/1017","Gercek urun fotosu veya kategoriye uygun AI urun gorseli hazirla"
