id,sku,name,category_id,stock,site_price,oem
501,CH6001,ROR Meritor Knorr WABCO Kaliper Perno Tamir Takımı CH6001,kaliper-perno-tamir-takimi,3,2007.72,SAF 3 434 3861 00 - HALDEX 95397
511,CH2225,ROR Meritor Knorr WABCO Kaliper Kapak Conta CH2225,kaliper-kapak-conta,16,5718.24,20-2606
512,CH2224,ROR Meritor Knorr Meritor ELSA Kaliper Tamir Takımı CH2224,kaliper-tamir-takimi-elsa,4,5718.24,
519,CH1127,Mercedes Axor Actros Körük Lastiği 69 mm,lastik,12,831.6,K001300 - K010603 - K000366 - K092079 - 000 420 2382 - 000 420 4082 - 000 420 4982 - 81.50822.6020 - 81.50822.6031 - 1723417
524,CH1070,ROR Meritor Knorr WABCO Kaliper Kapak Conta CH1070,kaliper-kapak-conta,6,1454.64,
526,CH1042,ROR Meritor Knorr WABCO WABCO Kaliper Tamir Takımı CH1042,kaliper-tamir-takimi-wabco,6,1437.48,
546,CDF-88171,Scania P G R Porya Keçesi 10/13 Arka,kece,8,9.39,
547,CDF-88029,Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Dingil Parçası Y.M.,dingil,40,17.49,0256647400
548,60-6064,ROR Meritor Knorr WABCO Kaliper 60-6064,kaliper,10,580.8,
551,303.04.0013,Ford Cargo Krone Dorse Kögel Dorse Dingil Parçası ABS'li,dingil,10,58.87,4630840410
560,BK 00 0036,Ford Cargo Krone Dorse Kögel Dorse Süspansiyon Körüğü BK 00 0036,suspansiyon-korugu,6,2970,8682644620381
567,ESP.03.16,Scania P G R Porya Y.M.,porya,1,7741.8,"2290525, 1822615, 2603319"
574,303.16.0006,Ford Cargo Krone Dorse Kögel Dorse EBS Modülatör ABS'li 303.16.0006,ebs-modulator,2,113.65,
577,FX-3030,Ford Cargo SAF Dorse Krone Dorse Kögel Dorse PAN Kaliper Tamir Takımı Sağ,kaliper-tamir-takimi-pan,1,5674.68,
591,KIZAK 10502,ROR Meritor Knorr WABCO Kaliper Kızak Ön,kizak,4,3960,"K000026, Z007541, 2121591"
592,10-1089,ROR Meritor Knorr WABCO Kaliper Kapak Conta 10-1089,kaliper-kapak-conta,15,546.48,
597,20-2380,ROR Meritor Knorr WABCO Kaliper Tamir Takımı 20-2380,kaliper-tamir-takimi,4,1878.36,"MCK1118, 85102092"
609,424884.C,MAN TGA TGS TGX TGM Süspansiyon Körüğü 424884.C,suspansiyon-korugu,70,3168,"81436006035 , 81436006055"
616,424881.S,Ford Cargo DAF Cf Xf BPW Dorse SAF Dorse Süspansiyon Körüğü Kısa,suspansiyon-korugu,97,2145,0542941010
622,EYD 80 24-1,Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Pabucu 18 cm EYD 80 24-1,fren-pabucu,1,1287,
625,EYD 100 66,Ford Cargo Krone Dorse Kögel Dorse Fren Körüğü EYD 100 66,fren-korugu,597,144.21,
626,FX-3095,ROR Meritor Knorr WABCO MAXX22 Kaliper Tamir Takımı FX-3095,kaliper-tamir-takimi-maxx22,2,7638.84,
627,FX-1021,ROR Meritor Knorr WABCO Kaliper FX-1021,kaliper,2,6547.2,
629,EYD 100 62,Ford Cargo Krone Dorse Kögel Dorse Fren Körüğü EYD 100 62,fren-korugu,66,170.28,
638,FX-2050,ROR Meritor Knorr WABCO Kaliper FX-2050,kaliper,4,8948.28,
642,20-2420,ROR Meritor Knorr Meritor Kaliper Toz Lastiği,kaliper-toz-lastigi,10,286.44,"MCK1139, 1487339, 85107913"
644,EYD 206 08,Mercedes Axor Actros Fren Pabucu 22CM,fren-pabucu,116,2145,624.420.02.19
654,EYD 91 22,Ford Cargo SAF Dorse Krone Dorse Kögel Dorse ABS Sensörü ABS'li EYD 91 22,abs-sensoru-modulu-kablo,30,237.6,4029108100
664,8113,Ford Cargo 16/24 D/P İmdatlı Fren Körüğü Disk Tipi,fren-korugu,4,3630,
675,20-2589,ROR Meritor Knorr WABCO Kaliper 20-2589,kaliper,3,2180.64,"MCK1289, 81.50802.6026"
678,60-6063,ROR Meritor Knorr WABCO Kaliper 60-6063,kaliper,10,504.24,
696,20-2621,ROR Meritor Knorr Meritor Kaliper Ayar Mekanizması Sağ 20-2621,kaliper-ayar-mekanizmasi,2,591.36,
698,20-2488,ROR Meritor Knorr WABCO Kaliper Tamir Takımı 20-2488,kaliper-tamir-takimi,1,1813.68,
699,20-2489,ROR Meritor Knorr WABCO Kaliper Tamir Takımı Ön,kaliper-tamir-takimi,1,2094.84,
